question,answer,crop,state,district,category
asking about control measure of panama wilt of banana,"spray carbendazim @ 2 g per lit of water, 3 sprays at 4 days interval or spray bordeaux mixture @ 10 g per lit of water, 2 sprays at 15 days interval",,,,
asking about the control measure of powdery mildew in papaya,suggested him to spray contaf @1ml/lit of water,,,,
want to know regarding increase in crop production,advice to spray crop booster @ 10 gram /lit of water,,,,
asking about cultural practices of carrot,explained him in details,,,,
asking about the fish seed,explain in detail,,,,
asking about plant protection in paddy,forward to expert for further consultation,,,,
asking about the control measure against thrips infestation in tomato.,advised him to spray rogor 35 ec @ 2 ml./litre of water.,,,,
asking about remedy for insect infestation in chilli,"spray dursban and etna alternately @ 2ml/litre water,2 sprays at an interval of 5 days.

precautional measure : planting of marigold flower in the boundary to avoid the insect infestation",,,,
control measure of fruit borer of bottle gourd,spray ‘malathion 50 ec’ @ 2 ml per litre of water,,,,
problem of gummosis or phytophthora foot rot in orange.,advised him to apply bordeu mixture to the infected area.,,,,
stem borer,advised to spray chlropyriphos @ 2ml / litre water,,,,
asking about micronuitrient for chilli,suggested to spray green harvest all crops @ 2gm/litre of water,,,,
asking for the control measure against shoot and trunk borers in jackfruit trees.,savin 50% solution @ 4 gram in 1 litre of water has been suggested to spray during the flowering season.,,,,
control measure of pest in rice,spray 'chlorpyriphos' @ 2 ml per litre of water,,,,
asking about the cifax.,explain in detail.,,,,
asking about the control measure against fruit fly infestation in bottle gourd.,advised him to spray malathion 50 ec @ 2 ml./litre of water and mix 10 gm gur to it.,,,,
asking about the medicine for poultry,advice-lixen powder-5gm/lit. of water daily x5 days. ambiplex-5ml/lit. of water x15  days.,,,,
query regarding kcc loan,advised to contact ado to avail kcc loan,,,,
asking about treatment of bloat in cow.,suggested to administer afanil @100 ml at a time and repeat the same dose after 6 hours.again administer afanil 100 ml daily for three consecutive days.,,,,
asking about the cultutal practices of bitter gourd.,"advised him to select suitable varieties like long green, extra long, pusa do mausami, etc. and treat the seeds with captan or captaf @ 2 gm./kg of seeds. sow the seeds in bheti or pit. before sowing apply urea 40 gm, ssp 40 gm, mop 40 gm per bheti or pit.",,,,
asking for the control of stem borer in rice cultivation,suggested to spray classic 20 @ 2 ml per liter of water,,,,
new registaration,your kcc reg. no. 13857232,,,,
bacterial wilt of tomato.,advised to spray streptomycin @ 1 gram/ 10 liter water.,,,,
asking to know about decrease production of milk,increase calcium supplement in diet,,,,
asking about the sowing time for watermelon.,advised him to sow during february/march. and variety is sugar baby.,,,,
asking about the control of powdery mildew in papaya.,advised to minimize the feeding in winter season,,,,
asking about treatment of worms infestation in calf.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight. along with that administer liv-52 vet @ 10 ml twice daily.,,,,
asking about the package of practices of ridge gourd.,given in details.,,,,
asking about fertilization of arecanut,recommended to apply dry cowdung at maximum dos,,,,
asking about control of cut worms,suggested to spray malathion 50ec@2 mililiter/liter of water followed by waiting period for 6-7 days,,,,
query regarding management of leaf blight in arecanut.,ramove the heavily affected leaves from the plants and then apply  hexaconazole 10 ml/liter of water or copper oxychloride (blitox-50) 3 gram/liter of water 3 times at 15 days interval in the root portion of the plants by loosening of soil with help of hand hoe.,,,,
asking about fertilizer does in coconut plant,"recommended that urea@750gm/plant,ssp@1250gm/plant,mop@800gm/plant, dry cow dung @10kg/plant",,,,
how to get fisheries loan from state fisheries dept.,"advised him to contact dfdo, demaji",,,,
query regarding tractor schemes,suggested him to consult district agricultural office,,,,
asking about good varity and planting time of carrot,"advice to cultivate pusa kesar,india gold as carrot varity and planting time is august.",,,,
cultural practices of tea,explained in details,,,,
asking about kisan credit card,"for kisan credit card, approach any nationalized bank along with documents viz. land documents, bank details, id proof, and address proof. then contact agricultural field officer or branch manager for further process. loan avail is 3,00,00/- @7% rate of interest per annum. on timely payment interest will be subvened to 4% only",,,,
problem of aphids in chilli.,advised him to apply rogor 35 ec @ 2 ml / liter of water.,,,,
control of aphids in tomato,spray rogor @ 2 ml per liter of water,,,,
asking about the source of information of pure goat breed varities.,"suggested to contact the farm manager , goat research farm, byrnihat.",,,,
asking about the manuring in tea,"apply 30,50,35, kg urea, ssp,mop/bigha",,,,
asking for the procedure along with the time of application of fertilizers in the main filed for cultivation of boro rice with regard to irrigated areas.,replied that 1/3rd of urea and entire quantity of single super phosphate and muriate of potash is to be applied as basal during final land preparation. remaining 1/3rd and 1/3rd of urea is to be applied as top dressing in the direction of the wind during the time of tillering and panicle initiation stages respectively. also replied that ssp can also be incorporated into the soil at active tillering stage 25-35 days after transplanting along with the 2nd dose of urea.,,,,
asking about the control measure against pumpkin beetle infestation in ridge gourd.,advised him to spray malathion 50 ec @ 2 ml./litre of water.,,,,
asking about stem borer problem in rice,suggested to spray rocket @ 2ml per litre of water,,,,
query regarding management of blight in potato.,--spray indofil m-45 or redomil gold 3 gram/liter of water once in a week in the evening time on a sunny day.,,,,
asking about the control of tea plantation,spray monta @ 100ml/200litres of water,,,,
asking about the pseudostem  borer in banana plant.,"told him to spray malathion 50 ec@ 1ml/l of water , 3 spray at 5 days interval",,,,
asking about seasonal vegetables that can be grown in this time.,"you can go gor okra, ridge gourd, pumpkin, french bean, cowpea etc.",,,,
asking about the marigold cultivation practices,explain in details,,,,
wanted to know the plnting procedure of raddish,explained in detail,,,,
asking about pm kisan samman nidhi yojona.,--please contact with your disttrict agriculture office.,,,,
control measure of leaf eating caterpiller of cabbage,spray 'pestoneem' @ 5 ml per litre of water,,,,
query regarding chilli,application of rogor @2ml/lit of water,,,,
asking for the control measure to control pseudostem borer in banana.,advised to spray malathion 50ec @ 1 milli litre per litre of water. also advised to apply cabofuran 3g granules @ 40 gram per stool.,,,,
control measures of rice blast,advice to spray bavistin @ 2 gm/l water,,,,
asking about the blight disease,application of ridomill @ 2 gram er litre of water,,,,
want to know controlled of flower drop in mango,adviced to apply aminos @ 2 ml per liter of water,,,,
fruit rot in pumkin,adviced to apply blitox 50 @ 2 gm per liter of water,,,,
query regarding  a cow with decreased milk production,"told him to give cup cal -7 @20 ml orally daily , bottle guard & papaya can be incorporated into the diet to enhance the milk production",,,,
asking about the weedicide in rice,told him to spray butachlor @ 2gm / l of water,,,,
asking about removal of azola from fish pond,adviced for manual removal,,,,
asking about pond management,advice him to apply lime @ 5 kg/bighas of water spread area,,,,
micronuitrient for potato,spray multiplex potato @ 2gm/litre of water,,,,
asking about control measur of fruit and shoot borer of brinjal.,suggested to apply carbofuran 3g @ 4gm/plant now and spray fenvalarate @ 0.25ml/liter of water at 10 days interval.,,,,
query:the calf is suffering from diarrhoea,".treatment: 1. neftin tab.:4no.s@1tab orally, twice daily. 2. diarex tab: 2no.s @1/2tab orally twice daily.",,,,
asking about pradhan mantri fasal beema yojana,"told him to contact gram sevak or block technology manager and submit the form along with documents viz. land documents, pan card, voter card and bank passbook. last date is 31 august 2019 crop covered are sali paddy, jute and black gram. only rs 1 has be paid by farmer for registration remaining govt. of assam will pay the premium",,,,
asking about the control of stem rot disease in betel vine,suggested him to spray saaf @ 2gm/liter of water,,,,
query regarding pm kisan samman nidhi yojna,visit common service center and district agriculture office of your respective area to avail the scheme,,,,
asking plant protection in brinjal.,apply imidachloropid @ 2ml/lit,,,,
asking about transplanting time of ranjit,suggested him to transplant at 25-30 das,,,,
asking about the market to sell bao paddy in higher rate.,advised to visit whole sale market of rice or visit kvk to get the market information.,,,,
asking about fertilizer application in papaya.,"recommended him to apply 250 g urea, 700 g ssp and 200 g mop per plant in ring method.",,,,
asking about control  of flower drop,recommended  him to apply planofix @ 1ml/5 lit of water spray 2 time at 15 days interval,,,,
asking about the way for quick wrapping of cabbage leaf to form the drum.,recommended to spray boron(multiplex) @ 2 ml/lit water 2 times at 7 days gape.,,,,
query regarding control of gundhi bug in rice,suggested him to apply malathion 5 % dust @ 2kg/bigha,,,,
asking use of crop booster in mustard cultivation,apply tracel/green harvest crop booster @ 2 gram per litre of water,,,,
asking for improving milk production in lactating cow,advice to administer caldhan v @ 40 ml 2 times daily,,,,
asking about his problems in fruiting of coconut,answer given by expert,,,,
asking about the when fertilizer can apply in arecanut plant,suugested him to apply after 1 year,,,,
asking about soil health card,"soil health card is a printed report that a farmer will be handed over for each of his holdings. it will contain the status of his soil with respect to 12 parameters, namely nitrogen,phosphorous,potassium (macro-nutrients) ; sulphur (secondary- nutrient) ; zinc, iron, copper, manganese, boron (micro - nutrients) ; and ph, electrical conductivity, organic carbon (physical parameters). based on this, the soil health card will also indicate fertilizer recommendations and soil amendment required for the farm.",,,,
asking about the veterinary queries,transfer to veterinary expert,,,,
